disease,symptom_1,symptom_2,symptom_3,symptom_4
Gastroenteritis,,,stomach pain,headache
Allergy,runny nose,rash,sneezing,shortness of breath
Viral Fever,fatigue,,,body ache
Typhoid,headache,weakness,,diarrhea
Asthma,fatigue,cough,difficulty breathing,shortness of breath
Common Cold,runny nose,,,headache
Asthma,cough,chest pain,difficulty breathing,wheezing
Pneumonia,fever,cough,difficulty breathing,
Diabetes,fatigue,extreme hunger,unexplained weight loss,frequent urination
Diabetes,fatigue,unexplained weight loss,,
COVID-19,fever,loss of taste,,fatigue
Pneumonia,fatigue,,,sweating
Pneumonia,,difficulty breathing,,fever
Diabetes,unexplained weight loss,extreme hunger,frequent urination,increased thirst
Anemia,fatigue,headache,weakness,cold hands and feet
Hypertension,headache,,nosebleeds,
Anemia,headache,,cold hands and feet,
Malaria,fever,sweating,nausea,vomiting
Typhoid,diarrhea,,headache,weakness
Allergy,cough,sneezing,itchy eyes,runny nose
Migraine,nausea,sensitivity to light,,blurred vision
Pneumonia,fever,cough,difficulty breathing,fatigue
Malaria,,chills,,fever
Pneumonia,fatigue,,chest pain,
Pneumonia,chest pain,sweating,cough,chills
Typhoid,,,rash,diarrhea
Migraine,sensitivity to light,nausea,sensitivity to sound,vomiting
Malaria,fever,,headache,chills
Typhoid,rash,weakness,headache,loss of appetite
Malaria,indigestion,fever,sweating,vomiting
Anemia,chest pain,,weakness,fatigue
Gastroenteritis,headache,vomiting,nausea,fever
Migraine,dizziness,nausea,vomiting,headache
Allergy,itchy eyes,rash,shortness of breath,sneezing
Allergy,nosebleeds,runny nose,shortness of breath,itchy eyes
Gastroenteritis,diarrhea,stomach pain,,fever
Asthma,,fatigue,,difficulty breathing
Viral Fever,,,chills,fatigue
Anemia,headache,chest pain,cold hands and feet,fatigue
Viral Fever,sweating,,,headache
Pneumonia,cough,sweating,fatigue,fever
COVID-19,loss of smell,,loss of taste,difficulty breathing
Diabetes,frequent urination,blurred vision,extreme hunger,
Viral Fever,,headache,mild cough,
Hypertension,,,blurred vision,shortness of breath
Gastroenteritis,diarrhea,muscle ache,nausea,headache
Gastroenteritis,vomiting,headache,stomach pain,nausea
Dengue,,severe headache,high fever,joint pain
Hypertension,headache,diarrhea,chest pain,
Common Cold,headache,cough,fatigue,runny nose
Anemia,fatigue,dizziness,weakness,pale skin
Common Cold,cough,headache,congestion,runny nose
Asthma,wheezing,shortness of breath,difficulty breathing,
Anemia,headache,pale skin,cold hands and feet,fatigue
Pneumonia,cough,,,chest pain
Dengue,rash,joint pain,vomiting,high fever
Viral Fever,,body ache,,headache
Common Cold,cough,sore throat,fatigue,sneezing
Common Cold,sneezing,,,runny nose
Allergy,itchy eyes,shortness of breath,cough,sneezing
Asthma,cough,wheezing,shortness of breath,fatigue
Pneumonia,,,difficulty breathing,fatigue
Dengue,,severe headache,joint pain,
Gastroenteritis,stomach pain,diarrhea,headache,nausea
Viral Fever,fever,fatigue,,
Allergy,,sneezing,rash,itchy eyes
Asthma,,cough,chest pain,wheezing
Anemia,,cold hands and feet,pale skin,
Acid Peptic Disease,vomiting,nausea,heartburn,stomach pain
COVID-19,difficulty breathing,,cough,
Anemia,headache,cold hands and feet,dizziness,weakness
Pneumonia,fever,chest pain,sweating,fatigue
Typhoid,weakness,,stomach pain,
COVID-19,difficulty breathing,,loss of taste,fever
Gastroenteritis,diarrhea,,fever,
Gastroenteritis,fever,vomiting,,stomach pain
Migraine,blurred vision,nausea,dizziness,headache
Anemia,chest pain,headache,weakness,
Hypertension,chest pain,headache,shortness of breath,nosebleeds
Anemia,pale skin,weakness,,headache
Viral Fever,,sweating,,fatigue
Allergy,runny nose,cough,shortness of breath,rash
Anemia,fatigue,chest pain,cold hands and feet,dizziness
Viral Fever,,fatigue,sweating,
Malaria,,headache,fever,sweating
Acid Peptic Disease,vomiting,,heartburn,
Asthma,,fatigue,,shortness of breath
COVID-19,cough,muscle pain,,fever
Typhoid,rash,weakness,diarrhea,headache
Hypertension,headache,blurred vision,nosebleeds,chest pain
Common Cold,fatigue,sneezing,sore throat,
Acid Peptic Disease,vomiting,,loss of appetite,
Common Cold,sore throat,congestion,cough,
Malaria,vomiting,,chills,sweating
Diabetes,,frequent urination,unexplained weight loss,fatigue
Migraine,sensitivity to light,vomiting,blurred vision,headache
Hypertension,shortness of breath,nosebleeds,,blurred vision
Viral Fever,headache,mild cough,body ache,sweating
Migraine,sensitivity to sound,nausea,dizziness,
Pneumonia,fever,cough,sweating,difficulty breathing
Viral Fever,fatigue,fever,body ache,sweating
Acid Peptic Disease,vomiting,indigestion,,nausea
Common Cold,runny nose,,congestion,wheezing
Pneumonia,chest pain,sweating,,fever
Malaria,,,fever,headache
Asthma,cough,,fatigue,runny nose
Hypertension,blurred vision,headache,,
Dengue,high fever,severe headache,muscle pain,vomiting
Malaria,nausea,headache,fever,sweating
Acid Peptic Disease,indigestion,loss of appetite,nausea,vomiting
Asthma,wheezing,difficulty breathing,,
Malaria,vomiting,chills,headache,sweating
Allergy,itchy eyes,cough,sneezing,rash
Viral Fever,sweating,body ache,fever,chills
Malaria,chills,fever,vomiting,sweating
Allergy,cough,itchy eyes,sneezing,shortness of breath
Common Cold,sneezing,sore throat,cough,
Pneumonia,chest pain,difficulty breathing,,chills
Viral Fever,fever,,sweating,mild cough
Viral Fever,mild cough,fever,headache,
Common Cold,fatigue,runny nose,congestion,sore throat
Anemia,cold hands and feet,weakness,dizziness,fatigue
Malaria,chills,vomiting,,
Dengue,nausea,vomiting,rash,severe headache
Common Cold,,,congestion,cough
Anemia,fatigue,pale skin,chest pain,cold hands and feet
Common Cold,fatigue,sore throat,sneezing,cough
Asthma,chest pain,,difficulty breathing,wheezing
Allergy,rash,sneezing,itchy eyes,cough
Typhoid,rash,headache,high fever,diarrhea
COVID-19,difficulty breathing,,blurred vision,loss of taste
Malaria,nausea,fever,sweating,headache
Typhoid,rash,weakness,itchy eyes,loss of appetite
Acid Peptic Disease,heartburn,,loss of appetite,indigestion
Asthma,chest pain,rash,cough,
Migraine,headache,blurred vision,,vomiting
Hypertension,blurred vision,dizziness,nosebleeds,headache
Typhoid,high fever,,,stomach pain
Malaria,vomiting,sweating,muscle pain,
Viral Fever,headache,body ache,fever,mild cough
Anemia,weakness,fatigue,cold hands and feet,chest pain
Hypertension,,,nosebleeds,headache
Viral Fever,headache,runny nose,sweating,mild cough
Asthma,chest pain,,,fatigue
Common Cold,sore throat,unexplained weight loss,fatigue,cough
Hypertension,dizziness,headache,shortness of breath,chest pain
Acid Peptic Disease,indigestion,,vomiting,loss of appetite
Typhoid,headache,weakness,diarrhea,stomach pain
Malaria,headache,nausea,muscle pain,vomiting
Pneumonia,sweating,difficulty breathing,chest pain,
COVID-19,fatigue,,difficulty breathing,
Typhoid,headache,high fever,weakness,diarrhea
Typhoid,weakness,stomach pain,loss of appetite,high fever
Anemia,pale skin,,cold hands and feet,
Viral Fever,mild cough,,headache,
Diabetes,,extreme hunger,unexplained weight loss,increased thirst
Migraine,,headache,,vomiting
Common Cold,sneezing,sore throat,,cough
Anemia,,weakness,pale skin,
Acid Peptic Disease,stomach pain,,nausea,loss of appetite
Gastroenteritis,stomach pain,nausea,muscle ache,
Gastroenteritis,headache,stomach pain,vomiting,fever
Typhoid,headache,rash,stomach pain,high fever
Hypertension,headache,,,blurred vision
COVID-19,difficulty breathing,,,cough
Migraine,nausea,blurred vision,vomiting,
Gastroenteritis,vomiting,,headache,stomach pain
Pneumonia,sweating,difficulty breathing,chest pain,chills
Common Cold,sore throat,sneezing,increased thirst,
Gastroenteritis,,stomach pain,diarrhea,fever
Acid Peptic Disease,vomiting,,,loss of appetite
Typhoid,diarrhea,stomach pain,headache,
Migraine,,sensitivity to light,vomiting,
Pneumonia,chest pain,cough,chills,
COVID-19,difficulty breathing,,loss of smell,loss of taste
Asthma,,,wheezing,fatigue
Dengue,nausea,high fever,muscle pain,
Asthma,difficulty breathing,wheezing,,
Allergy,,,rash,sneezing
Malaria,vomiting,,chills,
Dengue,joint pain,,,rash
Acid Peptic Disease,vomiting,nausea,heartburn,indigestion
Common Cold,cough,headache,sneezing,fatigue
Diabetes,unexplained weight loss,increased thirst,fatigue,blurred vision
Migraine,sensitivity to light,dizziness,headache,sensitivity to sound
Migraine,sensitivity to sound,sensitivity to light,blurred vision,nausea
Acid Peptic Disease,loss of appetite,indigestion,nausea,stomach pain
Pneumonia,cough,sweating,fever,
Gastroenteritis,muscle ache,headache,nausea,fever
Migraine,,vomiting,headache,sensitivity to sound
Common Cold,fatigue,congestion,runny nose,sore throat
Migraine,vomiting,,headache,sensitivity to sound
Anemia,weakness,headache,fatigue,pale skin
Migraine,dizziness,blurred vision,,
Hypertension,dizziness,headache,blurred vision,
Gastroenteritis,,diarrhea,,muscle ache
Diabetes,,blurred vision,,frequent urination
Asthma,chest pain,fatigue,wheezing,shortness of breath
Allergy,rash,shortness of breath,,
Malaria,muscle pain,sweating,chills,
Dengue,joint pain,,severe headache,
Viral Fever,fever,sweating,,fatigue
Typhoid,,rash,headache,weakness
Acid Peptic Disease,,indigestion,stomach pain,vomiting
Common Cold,cough,,congestion,
Asthma,wheezing,difficulty breathing,fatigue,chest pain
COVID-19,loss of taste,loss of smell,muscle pain,cough
Asthma,fatigue,difficulty breathing,,
Diabetes,,,blurred vision,frequent urination
Asthma,wheezing,cough,shortness of breath,pale skin
Common Cold,fatigue,cough,runny nose,sore throat
Typhoid,stomach pain,high fever,rash,headache
COVID-19,,loss of taste,loss of smell,
Common Cold,,,headache,cough
Acid Peptic Disease,indigestion,nausea,vomiting,stomach pain
Viral Fever,,headache,,mild cough
Malaria,chills,muscle pain,headache,
Anemia,dizziness,pale skin,,headache
Viral Fever,fatigue,chills,fever,mild cough
Malaria,vomiting,nausea,,
Diabetes,blurred vision,unexplained weight loss,,
COVID-19,fever,cough,loss of smell,
Viral Fever,headache,,,sweating
Anemia,nausea,cold hands and feet,pale skin,
Common Cold,,runny nose,sneezing,sore throat
Dengue,,joint pain,high fever,rash
Dengue,vomiting,nausea,muscle pain,rash
Viral Fever,,mild cough,,chills
Hypertension,shortness of breath,chest pain,blurred vision,headache
Pneumonia,chest pain,chills,cough,fever
Typhoid,weakness,headache,,diarrhea
Migraine,wheezing,sensitivity to sound,,headache
Malaria,nausea,vomiting,,
Acid Peptic Disease,,vomiting,,heartburn
Acid Peptic Disease,high fever,indigestion,,heartburn
Asthma,,shortness of breath,fatigue,wheezing
Pneumonia,,,cough,difficulty breathing
Malaria,,muscle pain,vomiting,sweating
Malaria,headache,fever,,muscle pain
Acid Peptic Disease,vomiting,loss of appetite,stomach pain,indigestion
Acid Peptic Disease,,loss of appetite,nausea,heartburn
Anemia,cold hands and feet,headache,,
Pneumonia,fatigue,chest pain,sweating,chills
Asthma,wheezing,difficulty breathing,cough,shortness of breath
Migraine,sensitivity to sound,headache,nausea,cold hands and feet
Hypertension,blurred vision,dizziness,chest pain,headache
Malaria,fever,,sweating,
Gastroenteritis,fever,vomiting,,nausea
COVID-19,high fever,loss of taste,difficulty breathing,fever
Common Cold,runny nose,fatigue,,headache
Migraine,sensitivity to light,vomiting,sensitivity to sound,nausea
Dengue,rash,,high fever,
Common Cold,fatigue,headache,runny nose,cough
Typhoid,headache,diarrhea,weakness,high fever
Asthma,fatigue,wheezing,,
Gastroenteritis,nausea,vomiting,,stomach pain
Malaria,vomiting,sweating,,fever
Hypertension,,,headache,shortness of breath
Typhoid,,,weakness,headache
Gastroenteritis,nausea,diarrhea,stomach pain,muscle ache
Common Cold,runny nose,sneezing,congestion,sore throat
Typhoid,weakness,loss of appetite,rash,diarrhea
Malaria,sweating,vomiting,nausea,
Anemia,loss of smell,cold hands and feet,dizziness,
Migraine,,blurred vision,sensitivity to light,sensitivity to sound
Diabetes,increased thirst,frequent urination,blurred vision,fatigue
Acid Peptic Disease,nausea,stomach pain,,indigestion
Asthma,chest pain,difficulty breathing,,
Dengue,,vomiting,high fever,severe headache
Anemia,weakness,,,dizziness
Hypertension,nosebleeds,headache,,dizziness
COVID-19,fever,loss of taste,fatigue,loss of smell
Dengue,severe headache,high fever,muscle pain,
COVID-19,fatigue,loss of taste,difficulty breathing,fever
Gastroenteritis,,,fever,muscle ache
Gastroenteritis,headache,diarrhea,fever,vomiting
Allergy,itchy eyes,rash,shortness of breath,cough
Typhoid,diarrhea,loss of appetite,headache,
Pneumonia,chest pain,fatigue,sweating,cough
Dengue,muscle pain,severe headache,rash,vomiting
Viral Fever,,fever,,body ache
Acid Peptic Disease,loss of appetite,indigestion,nausea,vomiting
Malaria,muscle pain,vomiting,sweating,headache
Common Cold,headache,fatigue,sneezing,
Dengue,muscle pain,,vomiting,high fever
Allergy,shortness of breath,cough,,
Hypertension,nosebleeds,shortness of breath,,dizziness
Pneumonia,fever,difficulty breathing,chills,
Typhoid,high fever,,,diarrhea
Migraine,,,dizziness,blurred vision
Hypertension,nosebleeds,headache,,blurred vision
Dengue,joint pain,muscle pain,high fever,
Common Cold,,sore throat,congestion,
Malaria,nausea,sweating,chills,headache
Pneumonia,,fever,difficulty breathing,
Migraine,headache,blurred vision,vomiting,nausea
Gastroenteritis,fever,headache,nausea,vomiting
Malaria,sweating,,,headache
Anemia,fatigue,weakness,dizziness,
Pneumonia,fever,cough,chest pain,
Asthma,shortness of breath,chest pain,,wheezing
Acid Peptic Disease,loss of appetite,nausea,stomach pain,
Typhoid,loss of appetite,diarrhea,,weakness
Migraine,vomiting,sensitivity to light,blurred vision,dizziness
Allergy,rash,cough,,
Gastroenteritis,,diarrhea,vomiting,nausea
Acid Peptic Disease,,stomach pain,nausea,
Asthma,fatigue,,chest pain,
Hypertension,,nosebleeds,dizziness,blurred vision
Dengue,joint pain,severe headache,muscle pain,nausea
Viral Fever,headache,fever,,pale skin
Typhoid,diarrhea,loss of appetite,weakness,stomach pain
Common Cold,,runny nose,fatigue,headache
Anemia,,cold hands and feet,,chest pain
COVID-19,fatigue,muscle pain,difficulty breathing,cough
Pneumonia,cough,difficulty breathing,chills,sweating
Asthma,difficulty breathing,wheezing,,
Typhoid,,rash,stomach pain,loss of appetite
Dengue,,vomiting,nausea,rash
Gastroenteritis,nausea,,stomach pain,
Diabetes,fatigue,blurred vision,unexplained weight loss,increased thirst
Viral Fever,,body ache,sweating,
Malaria,nausea,sweating,muscle pain,headache
Hypertension,chest pain,headache,blurred vision,nosebleeds
Pneumonia,chest pain,sweating,cough,
Allergy,shortness of breath,cough,runny nose,rash
Allergy,rash,shortness of breath,sneezing,cough
Allergy,rash,runny nose,itchy eyes,
Common Cold,congestion,,,fatigue
Hypertension,headache,runny nose,blurred vision,
Typhoid,diarrhea,,weakness,high fever
Malaria,,vomiting,sweating,fever
Viral Fever,fatigue,,body ache,
Acid Peptic Disease,heartburn,,indigestion,loss of appetite
Gastroenteritis,,headache,nausea,
Dengue,muscle pain,severe headache,nausea,
Viral Fever,mild cough,headache,,
Dengue,,high fever,,severe headache
Diabetes,blurred vision,unexplained weight loss,fatigue,extreme hunger
Anemia,,headache,fatigue,
Diabetes,extreme hunger,increased thirst,blurred vision,unexplained weight loss
Dengue,high fever,severe headache,nausea,muscle pain
Typhoid,,,high fever,rash
Viral Fever,headache,fatigue,fever,sweating
Dengue,vomiting,,nausea,
COVID-19,loss of smell,fatigue,loss of taste,cough
Migraine,,dizziness,nausea,
Dengue,,rash,vomiting,muscle pain
Acid Peptic Disease,stomach pain,,,vomiting
Pneumonia,,,chest pain,fever
Migraine,headache,sensitivity to sound,vomiting,sensitivity to light
Allergy,runny nose,sneezing,shortness of breath,itchy eyes
Hypertension,dizziness,blurred vision,chest pain,
Pneumonia,cough,fever,sweating,fatigue
Hypertension,blurred vision,headache,dizziness,shortness of breath
Malaria,headache,nausea,vomiting,
Asthma,,chest pain,fatigue,shortness of breath
Diabetes,,runny nose,frequent urination,extreme hunger
Diabetes,increased thirst,unexplained weight loss,,wheezing
Anemia,chest pain,dizziness,pale skin,fatigue
Allergy,,runny nose,,itchy eyes
Migraine,sensitivity to sound,,,sensitivity to light
Common Cold,runny nose,sneezing,sore throat,congestion
Diabetes,extreme hunger,,unexplained weight loss,frequent urination
Acid Peptic Disease,indigestion,stomach pain,,
Migraine,blurred vision,sensitivity to light,nausea,sensitivity to sound
Typhoid,,,high fever,stomach pain
Hypertension,blurred vision,shortness of breath,,nosebleeds
COVID-19,loss of taste,muscle pain,loss of smell,
Common Cold,cough,sore throat,sneezing,
Malaria,chills,vomiting,sweating,muscle pain
Migraine,sensitivity to light,vomiting,dizziness,
Pneumonia,difficulty breathing,chills,nausea,cough
Typhoid,diarrhea,loss of appetite,rash,weakness
Hypertension,,,shortness of breath,blurred vision
